ID,Класс,Период,Алг и матанализ,Биол.,Вер и Стат,Геогр.,Геом.,Англ.яз,Инф.,Ист.,Лит-ра,Обществ.,ОБиЗР,Практ. по матем.,Практ. по обществ.,Рус.яз.,Совр. литерат,Физика,Физ-ра,Фин.гр.,Химия
7,10.0,1 Полугодие,3.0,4.0,3.0,5.0,3.0,5.0,,4.0,4.0,4.0,5.0,,5.0,3.0,5.0,4.0,4.0,,5.0
7,10.0,2 Полугодие,3.0,4.0,3.0,5.0,3.0,4.0,,4.0,4.0,3.0,4.0,,5.0,3.0,5.0,4.0,4.0,,4.0
7,10.0,Год,3.0,4.0,3.0,5.0,3.0,4.0,,4.0,4.0,4.0,5.0,,5.0,3.0,5.0,4.0,4.0,,5.0
7,11.0,1 Полугодие,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,,,4.0,5.0,4.0,4.0,,4.0
7,11.0,2 Полугодие,,,,,,,,,,,,,,,,,4.0,,
7,11.0,Год,,,,,,,,,,,,,,,,,,,
7,,Средняя оценка,3.25,3.75,3.25,4.75,3.0,4.25,5.0,4.25,4.0,3.75,4.75,0.0,5.0,3.25,5.0,4.0,4.0,0.0,4.5
7,,Итог. оценка,,,,,,,,,,,,,,,,,,,
8,10.0,1 Полугодие,3.0,4.0,3.0,4.0,3.0,4.0,,4.0,3.0,3.0,5.0,,5.0,3.0,5.0,4.0,5.0,,4.0
8,10.0,2 Полугодие,3.0,3.0,3.0,3.0,3.0,4.0,,4.0,4.0,4.0,5.0,,5.0,4.0,5.0,3.0,4.0,,4.0
8,10.0,Год,3.0,4.0,3.0,3.0,3.0,4.0,,4.0,4.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,4.0
8,11.0,1 Полугодие,3.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,,,3.0,5.0,3.0,5.0,,3.0
8,11.0,2 Полугодие,,,,,,,,,,,,,,,,,5.0,,
8,11.0,Год,,,,,,,,,,,,,,,,,,,
8,,Средняя оценка,3.0,3.75,3.0,3.25,3.0,4.0,5.0,3.75,3.5,3.5,5.0,0.0,5.0,3.5,5.0,3.5,4.8,0.0,3.75
8,,Итог. оценка,,,,,,,,,,,,,,,,,,,
9,10.0,1 Полугодие,3.0,4.0,4.0,4.0,3.0,4.0,,4.0,3.0,4.0,5.0,,5.0,4.0,5.0,4.0,4.0,,4.0
9,10.0,2 Полугодие,3.0,4.0,3.0,3.0,3.0,4.0,,3.0,4.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,4.0
9,10.0,Год,3.0,4.0,3.0,3.0,3.0,4.0,,4.0,4.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,4.0
9,11.0,1 Полугодие,3.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,5.0,,,3.0,5.0,3.0,4.0,,4.0
9,11.0,2 Полугодие,,,,,,,,,,,,,,,,,4.0,,
9,11.0,Год,,,,,,,,,,,,,,,,,,,
9,,Средняя оценка,3.0,4.0,3.25,3.5,3.0,4.0,5.0,3.5,3.5,4.0,5.0,0.0,5.0,3.75,5.0,3.75,4.4,0.0,4.0
9,,Итог. оценка,,,,,,,,,,,,,,,,,,,
10,10.0,1 Полугодие,3.0,4.0,3.0,5.0,3.0,3.0,,4.0,4.0,4.0,5.0,,5.0,4.0,5.0,3.0,4.0,,5.0
10,10.0,2 Полугодие,3.0,4.0,4.0,5.0,4.0,4.0,,4.0,4.0,4.0,5.0,,5.0,3.0,5.0,3.0,4.0,,5.0
10,10.0,Год,3.0,4.0,3.0,5.0,3.0,4.0,,4.0,4.0,4.0,5.0,,5.0,4.0,5.0,3.0,4.0,,5.0
10,11.0,1 Полугодие,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,,,3.0,5.0,3.0,4.0,,4.0
10,11.0,2 Полугодие,,,,,,,,,,,,,,,,,5.0,,
10,11.0,Год,,,,,,,,,,,,,,,,,,,
10,,Средняя оценка,3.0,4.0,3.25,4.75,3.25,3.75,4.0,4.0,3.75,4.0,4.75,0.0,5.0,3.5,5.0,3.0,4.2,0.0,4.75
10,,Итог. оценка,,,,,,,,,,,,,,,,,,,
11,10.0,1 Полугодие,4.0,5.0,4.0,5.0,4.0,4.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,5.0
11,10.0,2 Полугодие,4.0,4.0,4.0,5.0,4.0,4.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,4.0,,5.0
11,10.0,Год,4.0,5.0,4.0,5.0,4.0,4.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,5.0
11,11.0,1 Полугодие,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,,,4.0,5.0,4.0,4.0,,4.0
11,11.0,2 Полугодие,,,,,,,,,,,,,,,,,4.0,,
11,11.0,Год,,,,,,,,,,,,,,,,,,,
11,,Средняя оценка,3.75,4.75,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,0.0,5.0,4.0,5.0,4.0,4.4,0.0,4.75
11,,Итог. оценка,,,,,,,,,,,,,,,,,,,
12,10.0,1 Полугодие,3.0,4.0,3.0,5.0,3.0,4.0,,4.0,4.0,4.0,5.0,,5.0,3.0,5.0,3.0,4.0,,4.0
12,10.0,2 Полугодие,3.0,4.0,3.0,4.0,3.0,4.0,,4.0,4.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,5.0
12,10.0,Год,3.0,4.0,3.0,5.0,3.0,4.0,,4.0,4.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,5.0
12,11.0,1 Полугодие,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,,,3.0,5.0,4.0,4.0,,4.0
12,11.0,2 Полугодие,,,,,,,,,,,,,,,,,4.0,,
12,11.0,Год,,,,,,,,,,,,,,,,,,,
12,,Средняя оценка,3.0,4.0,3.0,4.5,3.0,4.0,4.0,3.75,4.0,4.0,5.0,0.0,5.0,3.5,5.0,3.75,4.4,0.0,4.5
12,,Итог. оценка,,,,,,,,,,,,,,,,,,,
13,10.0,1 Полугодие,3.0,5.0,3.0,4.0,3.0,5.0,,4.0,4.0,4.0,5.0,,5.0,5.0,5.0,4.0,4.0,,5.0
13,10.0,2 Полугодие,4.0,4.0,4.0,3.0,4.0,5.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,4.0,,4.0
13,10.0,Год,4.0,5.0,4.0,4.0,4.0,5.0,,4.0,5.0,4.0,5.0,,5.0,5.0,5.0,4.0,4.0,,5.0
13,11.0,1 Полугодие,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,,,4.0,5.0,4.0,5.0,,4.0
13,11.0,2 Полугодие,,,,,,,,,,,,,,,,,5.0,,
13,11.0,Год,,,,,,,,,,,,,,,,,,,
13,,Средняя оценка,3.75,4.75,3.75,3.75,3.75,5.0,5.0,4.0,4.5,4.0,5.0,0.0,5.0,4.5,5.0,4.0,4.4,0.0,4.5
13,,Итог. оценка,,,,,,,,,,,,,,,,,,,
14,10.0,1 Полугодие,3.0,4.0,4.0,5.0,3.0,4.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,5.0
14,10.0,2 Полугодие,4.0,4.0,4.0,5.0,3.0,4.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,4.0,,5.0
14,10.0,Год,4.0,4.0,4.0,5.0,3.0,4.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,5.0
14,11.0,1 Полугодие,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,,,3.0,5.0,4.0,5.0,,4.0
14,11.0,2 Полугодие,,,,,,,,,,,,,,,,,5.0,,
14,11.0,Год,,,,,,,,,,,,,,,,,,,
14,,Средняя оценка,3.75,4.0,4.0,4.75,3.0,4.0,5.0,4.0,5.0,4.0,5.0,0.0,5.0,3.75,5.0,4.0,4.8,0.0,4.75
14,,Итог. оценка,,,,,,,,,,,,,,,,,,,
15,10.0,1 Полугодие,3.0,5.0,3.0,5.0,3.0,5.0,,5.0,5.0,4.0,5.0,,5.0,3.0,5.0,4.0,4.0,,5.0
15,10.0,2 Полугодие,3.0,4.0,3.0,5.0,3.0,5.0,,5.0,5.0,5.0,5.0,,5.0,3.0,5.0,4.0,5.0,,5.0
15,10.0,Год,3.0,5.0,3.0,5.0,3.0,5.0,,5.0,5.0,5.0,5.0,,5.0,3.0,5.0,4.0,5.0,,5.0
15,11.0,1 Полугодие,3.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,,,3.0,5.0,4.0,5.0,,4.0
15,11.0,2 Полугодие,,,,,,,,,,,,,,,,,5.0,,
15,11.0,Год,,,,,,,,,,,,,,,,,,,
15,,Средняя оценка,3.0,4.5,3.0,5.0,3.0,4.75,5.0,4.75,5.0,4.75,5.0,0.0,5.0,3.0,5.0,4.0,4.8,0.0,4.75
15,,Итог. оценка,,,,,,,,,,,,,,,,,,,
16,10.0,1 Полугодие,4.0,4.0,3.0,5.0,3.0,5.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,4.0,,4.0
16,10.0,2 Полугодие,4.0,4.0,4.0,5.0,3.0,5.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,4.0,,4.0
16,10.0,Год,4.0,4.0,4.0,5.0,3.0,5.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,4.0,,4.0
16,11.0,1 Полугодие,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,,,4.0,5.0,4.0,4.0,,4.0
16,11.0,2 Полугодие,,,,,,,,,,,,,,,,,5.0,,
16,11.0,Год,,,,,,,,,,,,,,,,,,,
16,,Средняя оценка,3.75,4.0,3.75,5.0,3.25,5.0,4.0,4.25,5.0,4.0,5.0,0.0,5.0,4.0,5.0,4.0,4.2,0.0,4.0
16,,Итог. оценка,,,,,,,,,,,,,,,,,,,
17,10.0,1 Полугодие,4.0,4.0,4.0,5.0,4.0,5.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,4.0
17,10.0,2 Полугодие,4.0,4.0,5.0,4.0,4.0,5.0,,4.0,4.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,5.0
17,10.0,Год,4.0,4.0,5.0,5.0,4.0,5.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,5.0
17,11.0,1 Полугодие,4.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,,,3.0,5.0,4.0,4.0,,4.0
17,11.0,2 Полугодие,,,,,,,,,,,,,,,,,5.0,,
17,11.0,Год,,,,,,,,,,,,,,,,,,,
17,,Средняя оценка,4.0,4.0,4.5,4.75,3.75,4.75,5.0,4.0,4.5,4.0,5.0,0.0,5.0,3.75,5.0,4.0,4.8,0.0,4.5
17,,Итог. оценка,,,,,,,,,,,,,,,,,,,
18,10.0,1 Полугодие,3.0,5.0,3.0,5.0,3.0,5.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,4.0
18,10.0,2 Полугодие,3.0,4.0,4.0,5.0,3.0,5.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,5.0,5.0,,4.0
18,10.0,Год,3.0,5.0,4.0,5.0,3.0,5.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,5.0,5.0,,4.0
18,11.0,1 Полугодие,3.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,,,4.0,5.0,5.0,5.0,,4.0
18,11.0,2 Полугодие,,,,,,,,,,,,,,,,,5.0,,
18,11.0,Год,,,,,,,,,,,,,,,,,,,
18,,Средняя оценка,3.0,4.75,3.5,5.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,0.0,5.0,4.0,5.0,4.75,5.0,0.0,4.0
18,,Итог. оценка,,,,,,,,,,,,,,,,,,,
19,10.0,1 Полугодие,3.0,4.0,4.0,5.0,4.0,4.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,5.0
19,10.0,2 Полугодие,3.0,4.0,4.0,5.0,3.0,4.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,5.0
19,10.0,Год,3.0,4.0,4.0,5.0,4.0,4.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,5.0
19,11.0,1 Полугодие,3.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,,,4.0,5.0,4.0,5.0,,4.0
19,11.0,2 Полугодие,,,,,,,,,,,,,,,,,5.0,,
19,11.0,Год,,,,,,,,,,,,,,,,,,,
19,,Средняя оценка,3.0,4.0,4.0,5.0,3.5,4.0,4.0,4.25,5.0,4.0,5.0,0.0,5.0,4.0,5.0,4.0,5.0,0.0,4.75
19,,Итог. оценка,,,,,,,,,,,,,,,,,,,
20,10.0,1 Полугодие,3.0,4.0,4.0,5.0,3.0,4.0,,4.0,4.0,4.0,5.0,,5.0,3.0,5.0,4.0,5.0,,5.0
20,10.0,2 Полугодие,3.0,4.0,4.0,4.0,3.0,4.0,,4.0,5.0,4.0,4.0,,5.0,3.0,5.0,4.0,4.0,,5.0
20,10.0,Год,3.0,4.0,4.0,4.0,3.0,4.0,,4.0,5.0,4.0,5.0,,5.0,3.0,5.0,4.0,5.0,,5.0
20,11.0,1 Полугодие,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,,,3.0,5.0,4.0,5.0,,4.0
20,11.0,2 Полугодие,,,,,,,,,,,,,,,,,5.0,,
20,11.0,Год,,,,,,,,,,,,,,,,,,,
20,,Средняя оценка,3.0,4.0,4.0,4.25,3.0,4.0,5.0,4.0,4.5,4.0,4.75,0.0,5.0,3.0,5.0,4.0,4.8,0.0,4.75
20,,Итог. оценка,,,,,,,,,,,,,,,,,,,
21,10.0,1 Полугодие,4.0,4.0,5.0,5.0,3.0,4.0,,4.0,4.0,3.0,5.0,,5.0,4.0,5.0,5.0,5.0,,5.0
21,10.0,2 Полугодие,4.0,4.0,4.0,4.0,3.0,4.0,,4.0,4.0,4.0,5.0,,5.0,3.0,5.0,4.0,5.0,,5.0
21,10.0,Год,4.0,4.0,4.0,5.0,3.0,4.0,,4.0,4.0,4.0,5.0,,5.0,4.0,5.0,5.0,5.0,,5.0
21,11.0,1 Полугодие,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,,,3.0,5.0,4.0,5.0,,4.0
21,11.0,2 Полугодие,,,,,,,,,,,,,,,,,4.0,,
21,11.0,Год,,,,,,,,,,,,,,,,,,,
21,,Средняя оценка,3.75,3.75,4.0,4.5,3.0,4.0,5.0,4.0,4.0,3.75,5.0,0.0,5.0,3.5,5.0,4.5,4.8,0.0,4.75
21,,Итог. оценка,,,,,,,,,,,,,,,,,,,
22,10.0,1 Полугодие,4.0,5.0,4.0,5.0,4.0,4.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,4.0,,4.0
22,10.0,2 Полугодие,4.0,4.0,4.0,5.0,4.0,4.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,4.0,,5.0
22,10.0,Год,4.0,5.0,4.0,5.0,4.0,4.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,4.0,,5.0
22,11.0,1 Полугодие,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,,,4.0,5.0,4.0,4.0,,4.0
22,11.0,2 Полугодие,,,,,,,,,,,,,,,,,5.0,,
22,11.0,Год,,,,,,,,,,,,,,,,,,,
22,,Средняя оценка,4.0,4.5,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,0.0,5.0,4.0,5.0,4.0,4.2,0.0,4.5
22,,Итог. оценка,,,,,,,,,,,,,,,,,,,
23,10.0,1 Полугодие,5.0,5.0,5.0,5.0,4.0,5.0,,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,,5.0
23,10.0,2 Полугодие,5.0,4.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,,5.0
23,10.0,Год,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,,5.0
23,11.0,1 Полугодие,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,5.0,,5.0
23,11.0,2 Полугодие,,,,,,,,,,,,,,,,,4.0,,
23,11.0,Год,,,,,,,,,,,,,,,,,,,
23,,Средняя оценка,5.0,4.5,5.0,5.0,4.75,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,4.8,0.0,5.0
23,,Итог. оценка,,,,,,,,,,,,,,,,,,,
