Средний балл,Среднее кол-во У в месяц,Среднее кол-во Б в месяц,Среднее кол-во Н в месяц,Успешный
3.701923076923077,11.142857142857142,0.0,0.2857142857142857,1
3.9745762711864407,11.142857142857142,0.0,0.2857142857142857,1
3.914285714285714,11.142857142857142,0.0,0.2857142857142857,1
3.731707317073171,11.142857142857142,0.0,0.2857142857142857,1
3.7545454545454544,11.142857142857142,0.0,0.2857142857142857,1
3.65625,11.142857142857142,0.0,0.2857142857142857,1
4.078125,11.142857142857142,0.0,0.2857142857142857,1
4.305555555555555,11.142857142857142,0.0,0.2857142857142857,1
4.186440677966102,20.5,3.875,1.75,1
3.611111111111111,20.5,3.875,1.75,1
4.141304347826087,20.5,3.875,1.75,1
4.17741935483871,20.5,3.875,1.75,1
3.939393939393939,20.5,3.875,1.75,1
4.117021276595745,20.5,3.875,1.75,1
3.779411764705882,20.5,3.875,1.75,1
4.238095238095238,20.5,3.875,1.75,1
4.340909090909091,20.5,3.875,1.75,1
3.380952380952381,5.0,4.0,1.1666666666666667,0
3.025641025641025,5.0,4.0,1.1666666666666667,0
3.425925925925926,5.0,4.0,1.1666666666666667,0
3.3125,5.0,4.0,1.1666666666666667,0
3.3846153846153846,5.0,4.0,1.1666666666666667,0
3.3867924528301887,5.0,4.0,1.1666666666666667,0
3.0625,5.0,4.0,1.1666666666666667,0
3.4375,5.0,4.0,1.1666666666666667,0
3.5,5.0,4.0,1.1666666666666667,0
3.4473684210526314,6.875,3.75,0.75,0
3.4347826086956523,6.875,3.75,0.75,0
3.564814814814815,6.875,3.75,0.75,0
3.757142857142857,6.875,3.75,0.75,0
3.414634146341464,6.875,3.75,0.75,0
3.4285714285714284,6.875,3.75,0.75,0
3.413793103448276,6.875,3.75,0.75,0
3.638888888888889,6.875,3.75,0.75,0
3.9696969696969697,6.875,3.75,0.75,0
3.9375,9.125,7.875,1.875,0
3.689189189189189,9.125,7.875,1.875,0
3.784090909090909,9.125,7.875,1.875,0
4.293103448275862,9.125,7.875,1.875,0
3.775,9.125,7.875,1.875,0
3.826530612244898,9.125,7.875,1.875,0
3.546875,9.125,7.875,1.875,0
3.7547169811320753,9.125,7.875,1.875,0
3.625,9.125,7.875,1.875,0
3.982456140350877,3.4444444444444446,15.0,2.111111111111111,1
3.880952380952381,3.4444444444444446,15.0,2.111111111111111,1
4.196428571428571,3.4444444444444446,15.0,2.111111111111111,1
4.2631578947368425,3.4444444444444446,15.0,2.111111111111111,1
4.15,3.4444444444444446,15.0,2.111111111111111,1
3.918918918918919,3.4444444444444446,15.0,2.111111111111111,1
3.887096774193549,3.4444444444444446,15.0,2.111111111111111,1
4.076923076923077,3.4444444444444446,15.0,2.111111111111111,1
3.640625,3.4444444444444446,15.0,2.111111111111111,1
3.4915254237288136,18.88888888888889,0.1111111111111111,2.555555555555556,0
3.6666666666666665,18.88888888888889,0.1111111111111111,2.555555555555556,0
3.5945945945945947,18.88888888888889,0.1111111111111111,2.555555555555556,0
3.821428571428572,18.88888888888889,0.1111111111111111,2.555555555555556,0
3.41025641025641,18.88888888888889,0.1111111111111111,2.555555555555556,0
3.49,18.88888888888889,0.1111111111111111,2.555555555555556,0
3.375,18.88888888888889,0.1111111111111111,2.555555555555556,0
3.682692307692308,18.88888888888889,0.1111111111111111,2.555555555555556,0
3.6805555555555554,18.88888888888889,0.1111111111111111,2.555555555555556,0
3.959183673469388,13.166666666666666,13.333333333333334,1.3333333333333333,1
3.793478260869565,13.166666666666666,13.333333333333334,1.3333333333333333,1
3.855555555555556,13.166666666666666,13.333333333333334,1.3333333333333333,1
3.932432432432433,13.166666666666666,13.333333333333334,1.3333333333333333,1
4.0,13.166666666666666,13.333333333333334,1.3333333333333333,1
3.8552631578947367,13.166666666666666,13.333333333333334,1.3333333333333333,1
3.734375,13.166666666666666,13.333333333333334,1.3333333333333333,1
3.625,13.166666666666666,13.333333333333334,1.3333333333333333,1
3.951612903225808,13.166666666666666,13.333333333333334,1.3333333333333333,1
3.543859649122807,14.0,0.0,1.5,0
3.160377358490566,14.0,0.0,1.5,0
3.4245283018867925,14.0,0.0,1.5,0
3.446428571428572,14.0,0.0,1.5,0
3.3617021276595747,14.0,0.0,1.5,0
3.273809523809524,14.0,0.0,1.5,0
3.324324324324324,14.0,0.0,1.5,0
3.4411764705882355,14.0,0.0,1.5,0
3.763157894736842,14.0,0.0,1.5,0
3.21875,10.77777777777778,7.0,3.291666666666667,0
3.1323529411764706,10.77777777777778,7.0,3.291666666666667,0
3.325,10.77777777777778,7.0,3.291666666666667,0
3.25,10.77777777777778,7.0,3.291666666666667,0
3.1142857142857143,10.77777777777778,7.0,3.291666666666667,0
3.127659574468085,10.77777777777778,7.0,3.291666666666667,0
3.083333333333333,10.77777777777778,7.0,3.291666666666667,0
3.355769230769231,10.77777777777778,7.0,3.291666666666667,0
3.0142857142857142,10.77777777777778,7.0,3.291666666666667,0
3.515625,13.625,0.0,1.75,0
3.342592592592593,13.625,0.0,1.75,0
3.4038461538461537,13.625,0.0,1.75,0
3.7903225806451615,13.625,0.0,1.75,0
3.6944444444444446,13.625,0.0,1.75,0
3.276595744680851,13.625,0.0,1.75,0
3.1625,13.625,0.0,1.75,0
3.4661016949152543,13.625,0.0,1.75,0
3.5,13.625,0.0,1.75,0
3.292682926829268,8.0,22.315625,2.111111111111111,0
3.130434782608696,8.0,22.315625,2.111111111111111,0
3.0609756097560976,8.0,22.315625,2.111111111111111,0
3.15,8.0,22.315625,2.111111111111111,0
3.282051282051282,8.0,22.315625,2.111111111111111,0
3.1451612903225805,8.0,22.315625,2.111111111111111,0
2.9393939393939394,8.0,22.315625,2.111111111111111,0
3.090909090909091,8.0,22.315625,2.111111111111111,0
